citation,doi,url,summary_of_paper_topic,theme_name,theme_description
"Rufener L, Akre C, Rodondi P-Y, Dubois J (2024) Management of chronic non-cancer pain by primary care physicians: A qualitative study. PLoS ONE 19(7): e0307701.",10.1371/journal.pone.0307701,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307701,Swiss GPs' management of chronic non-cancer pain patients,Investigation of CNCP,"This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing."
"Rufener L, Akre C, Rodondi P-Y, Dubois J (2024) Management of chronic non-cancer pain by primary care physicians: A qualitative study. PLoS ONE 19(7): e0307701.",10.1371/journal.pone.0307701,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307701,Swiss GPs' management of chronic non-cancer pain patients,Patient-Provider Relationship,"Emphasized the importance of fostering trust through continuous care and open communication. Physicians highlighted that conversations are the most important thing in managing chronic pain, requiring time to explain pain mechanisms and reassure patients while avoiding negative comments about previous treatments."
"Rufener L, Akre C, Rodondi P-Y, Dubois J (2024) Management of chronic non-cancer pain by primary care physicians: A qualitative study. PLoS ONE 19(7): e0307701.",10.1371/journal.pone.0307701,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307701,Swiss GPs' management of chronic non-cancer pain patients,Patient Characteristics,"Addressed how socioeconomic situations (employment capacity, financial resources for treatments) and patient attitudes toward pain influenced management strategies. Insurance coverage determined treatment prioritization, with physicians sometimes recommending covered therapies over potentially more effective options."
"Rufener L, Akre C, Rodondi P-Y, Dubois J (2024) Management of chronic non-cancer pain by primary care physicians: A qualitative study. PLoS ONE 19(7): e0307701.",10.1371/journal.pone.0307701,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0307701,Swiss GPs' management of chronic non-cancer pain patients,Medical Recommendations,"Covered pharmacological approaches (non-opioid analgesics first, opioids as last resort), non-pharmacological treatments (physiotherapy, psychological support), and regular reassessment for treatment effectiveness and side effects."
"Payne H, Brooks SDM (2020) A qualitative study of the views of patients with medically unexplained symptoms on The BodyMind Approach: Employing embodied methods and arts practices for self-management. Frontiers in Psychology 11: 554566.",10.3389/fpsyg.2020.554566,https://pmc.ncbi.nlm.nih.gov/articles/PMC7750328/,MUS patients' views on embodied arts-based intervention,Body With Mind Connections,"Participants learned to establish linkages between body and mind through embodied practices, enabling them to monitor bodily signals and understand how emotional states influence physical symptoms."
"Payne H, Brooks SDM (2020) A qualitative study of the views of patients with medically unexplained symptoms on The BodyMind Approach: Employing embodied methods and arts practices for self-management. Frontiers in Psychology 11: 554566.",10.3389/fpsyg.2020.554566,https://pmc.ncbi.nlm.nih.gov/articles/PMC7750328/,MUS patients' views on embodied arts-based intervention,Importance of the Facilitator,"The facilitator functioned as a catalyst, establishing safety and trust while modeling non-judgmental attitudes that encouraged participants to explore their symptoms and develop coping strategies."
"Payne H, Brooks SDM (2020) A qualitative study of the views of patients with medically unexplained symptoms on The BodyMind Approach: Employing embodied methods and arts practices for self-management. Frontiers in Psychology 11: 554566.",10.3389/fpsyg.2020.554566,https://pmc.ncbi.nlm.nih.gov/articles/PMC7750328/,MUS patients' views on embodied arts-based intervention,Positive Benefits,"Groups provided feelings of belonging, support, safety, and shared purpose, reducing isolation and fostering social cohesion essential for developing self-management confidence."
"Payne H, Brooks SDM (2020) A qualitative study of the views of patients with medically unexplained symptoms on The BodyMind Approach: Employing embodied methods and arts practices for self-management. Frontiers in Psychology 11: 554566.",10.3389/fpsyg.2020.554566,https://pmc.ncbi.nlm.nih.gov/articles/PMC7750328/,MUS patients' views on embodied arts-based intervention,Preparedness for Change,"Participants reported shifts in thinking patterns and habits, lifestyle modifications, and improved mindsets that enabled them to embrace change and develop new management approaches."
"Payne H, Brooks SDM (2020) A qualitative study of the views of patients with medically unexplained symptoms on The BodyMind Approach: Employing embodied methods and arts practices for self-management. Frontiers in Psychology 11: 554566.",10.3389/fpsyg.2020.554566,https://pmc.ncbi.nlm.nih.gov/articles/PMC7750328/,MUS patients' views on embodied arts-based intervention,Self-Acceptance/Compassion,"The symptom transformed from being an enemy into an ally, fostering tolerance and acceptance necessary for sustainable self-management rather than seeking cure."
"Ashe SC, Furness PJ, Taylor SJ, Haywood-Small S, Lawson K (2017) A qualitative exploration of the experiences of living with and being treated for fibromyalgia. Health Psychology Open 4(2): 2055102917724336.",10.1177/2055102917724336,https://pmc.ncbi.nlm.nih.gov/articles/PMC5779932/,Fibromyalgia patients' lived experiences and treatment,Inauthenticity of Fibromyalgia,"The condition's contested medical status creates a sense of invisibility and delegitimacy. Participants felt their symptoms lacked recognition from healthcare professionals and the public, with some experiencing dismissive attitudes suggesting the condition was all in your head. This theme fundamentally influenced all remaining themes."
