original,text,category,doi,similarity
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"This theme involves three core elements: taking a history to understand the patient’s limitations and previous treatments; identifying potential causes of pain while acknowledging that CNCP seldom has a single, specific cause; and evaluating psychosocial aspects, including how the patient interprets their pain and psychological influences on pain processing.",same,10.1371/journal.pone.0307701,0.902410352724417
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,The theme comprises three main parts: conducting a history to learn about patient limitations and past therapies; searching for possible pain sources with the understanding that CNCP usually lacks one distinct cause; and examining psychosocial factors such as the patient’s perception of their pain and psychological elements that impact its processing.,same,10.1371/journal.pone.0307701,0.8946574395350626
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"This theme outlines three principal aspects: gathering a history to establish patient limitations and prior interventions; assessing pain origins while noting that CNCP is rarely attributable to one specific cause; and investigating psychosocial components, including the patient’s view of their pain and psychological factors influencing the way pain is processed.",same,10.1371/journal.pone.0307701,0.8837294451830963
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"Three central components define this theme: performing history taking to determine patient limitations and treatment history; considering possible causes of pain with recognition that CNCP infrequently stems from a single specific source; and addressing psychosocial issues, encompassing the patient’s interpretation of pain and psychological influences on pain handling.",same,10.1371/journal.pone.0307701,0.8854826209100022
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"The theme centers on three key activities: collecting patient history to understand limitations and past care; probing for pain causes while recognizing that CNCP rarely has one identifiable origin; and examining psychosocial dimensions, such as the patient’s understanding of their pain and psychological factors affecting pain perception.",same,10.1371/journal.pone.0307701,0.8762810565316531
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"The theme covers gathering patient history to identify limitations and past therapies, examining possible sources of pain while acknowledging that chronic non-cancer pain often stems from multiple factors, and assessing psychosocial influences, such as how patients perceive their discomfort and the mental elements shaping pain experience.",close,10.1371/journal.pone.0307701,0.8261543238155243
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"This idea involves collecting comprehensive histories to learn about constraints and previous interventions, searching for underlying pain triggers with the understanding CNCP seldom arises from a single origin, and considering emotional and interpretive aspects that shape how pain is processed.",close,10.1371/journal.pone.0307701,0.7839532648601952
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"It addresses taking a detailed medical background to determine obstacles and prior care, seeking out identifiable pain origins while keeping in mind that CNCP is generally multifactorial, and considering the social and psychological contexts influencing pain perception.",close,10.1371/journal.pone.0307701,0.7868065743069589
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"The focus is on reviewing a patient’s past medical and treatment experiences, investigating potential pain mechanisms knowing CNCP is rarely linked to just one cause, and paying attention to the patient’s personal interpretation of the pain along with psychological contributors to how it is felt.",close,10.1371/journal.pone.0307701,0.8165876397995121
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"This theme includes recording medical history to uncover limitations and previous management approaches, identifying pain-generating factors with awareness that CNCP often has many sources, and delving into the psychosocial side, such as the patient’s meaning-making around their pain and the mental processes involved.",close,10.1371/journal.pone.0307701,0.8364467327751703
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"Clinicians often shifted their focus from detailed historical accounts to observing current functional abilities, using pain origin only as a broad guide rather than a precise diagnosis, with heavier emphasis on patient coping strategies.",diverging,10.1371/journal.pone.0307701,0.7186187448188437
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"In some assessments, more weight was placed on understanding daily activity restrictions and external stressors, with pain mechanisms treated as secondary to improving overall quality of life.",diverging,10.1371/journal.pone.0307701,0.7139311125250181
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"Rather than attempting to pinpoint a root cause, practitioners sometimes prioritised educating patients about pain variability and resilience, drawing on limited treatment history only as context.",diverging,10.1371/journal.pone.0307701,0.7368830236777635
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"Certain approaches concentrated mainly on the emotional patterns shaping pain perception, with physical history and causes addressed briefly to support broader therapeutic goals.",diverging,10.1371/journal.pone.0307701,0.7600215908996761
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"For some providers, the main objective was encouraging adaptive behaviours and social support, using diagnostic work primarily to rule out red flags rather than to map detailed pain pathways.",diverging,10.1371/journal.pone.0307701,0.697032753774757
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,Chronic illness research often examines how societal attitudes and workplace policies shape the accessibility of long-term support services.,distant,10.1371/journal.pone.0307701,0.670600662399533
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,Advances in imaging technologies have enabled clinicians to detect subtle structural changes in musculoskeletal systems that were previously difficult to observe.,distant,10.1371/journal.pone.0307701,0.6696336527109821
