original,text,category,doi
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"This theme includes three main aspects: taking a history to understand patient limitations and previous treatments; identifying specific causes of pain while acknowledging that CNCP seldom has a single, definitive cause; and investigating psychosocial factors such as the patient's perception of their pain and psychological influences on pain processing.",same,10.1371/journal.pone.0307701
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"The theme covers three primary components: collecting history to grasp patient restrictions and past treatments; searching for particular causes of pain while understanding that CNCP typically does not have a singular and specific cause; and examining psychosocial aspects, including the patient's interpretation of pain and psychological elements influencing pain processing.",same,10.1371/journal.pone.0307701
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"This theme involves three essential parts: history taking to comprehend patient limitations and prior treatments; seeking specific causes for pain with the awareness that CNCP rarely has one distinct cause; and analyzing psychosocial dimensions, which encompass the patient's view of their pain and psychological factors that impact pain processing.",same,10.1371/journal.pone.0307701
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"Within this theme are three critical elements: gathering history to assess patient limitations and former treatments; looking for particular causes of pain while recognizing that CNCP seldom has a unique and specific cause; and exploring psychosocial factors, such as how patients interpret their pain and psychological influences on how pain is processed.",same,10.1371/journal.pone.0307701
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"The theme consists of three key components: history taking to understand the patient's limitations and previous treatments; identifying specific causes of pain, acknowledging that CNCP rarely stems from a single specific cause; and exploring psychosocial dimensions, including the patient's interpretation of their pain and psychological influences affecting pain processing.",same,10.1371/journal.pone.0307701
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,This theme covers three main elements: gathering patient history to identify limitations and past treatments; searching for particular causes of pain while accepting that CNCP often lacks one definitive source; and examining psychosocial aspects such as the patient's understanding of their pain and mental factors influencing pain perception.,close,10.1371/journal.pone.0307701
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,The theme includes three essential parts: collecting clinical history to assess patient restrictions and previous therapies; identifying specific origins of pain though acknowledging that CNCP seldom has a singular cause; and assessing psychosocial factors including how patients perceive their pain and the psychological influences on pain processing.,close,10.1371/journal.pone.0307701
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,This theme involves three critical aspects: history taking to grasp patient constraints and earlier interventions; identifying particular pain causes but understanding that chronic non-cancer pain rarely stems from a single source; and investigating psychosocial components such as the patient's pain interpretation and mental factors affecting how pain is experienced.,close,10.1371/journal.pone.0307701
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,"The focus of this theme lies in three areas: history gathering to understand patient limitations and former treatments; seeking pinpointed causes for pain while recognizing that chronic non-cancer pain usually does not have one exclusive cause; and exploring the psychosocial realm, including patients' pain interpretations and psychological influences on pain modulation.",close,10.1371/journal.pone.0307701
This theme encompasses three key components: history taking to understand patient limitations and prior treatments; looking for specific pain causes while recognizing that CNCP rarely has a single and specific cause; and exploring psychosocial dimensions including patient's interpretation of their pain and psychological factors affecting pain processing.,Within this theme are three focal points: obtaining a thorough history to ascertain patient limits and prior treatment efforts; looking for defined causes of pain while accepting that CNCP generally lacks a unique cause; and delving into psychosocial aspects like how patients interpret their pain and the psychological elements that impact pain processing.,close,10.1371/journal.pone.0307701
